Gender,Sports,Anger_Out,Anger_In,Control_Out,Control_In,Anger_Expression
Female,Athlete,18,13,23,20,36
Female,Athlete,14,17,25,24,30
Female,Athlete,13,14,28,28,19
Female,Athlete,17,24,23,23,43
Male,Athlete,16,17,26,28,27
Male,Athlete,16,22,25,23,38
Male,Athlete,12,12,31,27,14
Female,Athlete,13,16,22,31,24
Female,Athlete,16,16,22,24,34
Female,Athlete,12,16,29,29,18
Male,Athlete,12,13,24,25,24
Male,Athlete,17,23,24,22,42
Male,Athlete,18,19,29,30,26
Male,Non-Athlete,27,10,23,27,35
Female,Non-Athlete,18,14,17,11,52
Male,Non-Athlete,9,20,28,24,25
Female,Non-Athlete,13,25,27,24,35
Female,Non-Athlete,20,21,15,18,56
Female,Non-Athlete,16,24,26,26,36
Female,Non-Athlete,23,16,15,14,58
Male,Non-Athlete,12,21,29,15,37
Male,Non-Athlete,15,29,29,23,40
Female,Non-Athlete,26,21,14,13,68
Female,Non-Athlete,17,30,16,18,61
Female,Non-Athlete,20,19,17,14,56
Female,Non-Athlete,9,24,21,21,39
Male,Non-Athlete,24,20,18,13,61
Male,Non-Athlete,12,21,26,24,31
Female,Non-Athlete,23,14,17,14,54
Female,Non-Athlete,14,12,22,22,30
Female,Non-Athlete,23,26,28,23,46
Female,Non-Athlete,13,11,27,21,24
Female,Non-Athlete,18,19,21,19,45
Female,Non-Athlete,11,22,25,24,32
Male,Non-Athlete,15,27,21,16,53
Male,Non-Athlete,20,22,16,18,56
Female,Non-Athlete,11,26,24,25,36
Male,Non-Athlete,16,15,30,26,23
Female,Non-Athlete,11,19,22,16,40
Female,Non-Athlete,15,31,21,22,51
Male,Non-Athlete,17,22,22,19,46
Male,Non-Athlete,18,17,27,24,32
Male,Non-Athlete,16,21,30,30,25
Female,Non-Athlete,14,18,20,17,43
Female,Non-Athlete,18,13,27,20,32
Male,Non-Athlete,11,22,32,22,27
Female,Non-Athlete,12,13,24,22,27
Female,Non-Athlete,18,14,19,19,42
Female,Non-Athlete,21,22,25,19,47
Male,Non-Athlete,22,20,17,18,55
Female,Non-Athlete,22,17,22,23,42
Male,Non-Athlete,26,24,15,16,67
Male,Non-Athlete,11,15,29,19,26
Female,Non-Athlete,17,18,28,20,35
Female,Non-Athlete,16,18,24,22,36
Female,Non-Athlete,9,14,32,32,7
Female,Non-Athlete,11,23,24,16,42
Female,Non-Athlete,17,11,21,24,31
Female,Non-Athlete,13,22,21,21,41
Female,Non-Athlete,18,19,27,22,36
Male,Non-Athlete,19,15,19,19,44
Female,Non-Athlete,15,21,25,26,33
Male,Non-Athlete,15,22,25,24,36
Male,Non-Athlete,18,18,20,19,45
Female,Non-Athlete,12,16,31,32,13
Female,Non-Athlete,15,18,30,29,22
Male,Athlete,14,14,27,23,26
Female,Athlete,14,22,30,29,25
Male,Athlete,15,15,27,27,24
Male,Athlete,21,19,21,17,50
Male,Athlete,18,19,24,23,38
Female,Athlete,17,10,18,17,40
Female,Athlete,24,19,18,23,50
Female,Athlete,14,11,18,15,40
Female,Athlete,10,18,30,32,14
Female,Athlete,11,14,29,24,20
Male,Athlete,15,17,20,18,42
Female,Athlete,15,17,24,26,30
